Frequency (Hz),S21 / S12 (dB),S11 (dB),S22 (dB)
7229752,-161.89,0,0
7384081,-160.59,0,0
7541704,-159.29,0,0
7702692,-157.99,0,0
7867116,-156.69,0,0
8035050,-155.39,0,0
8206569,-154.09,0,0
8381750,-152.79,0,0
8560670,-151.49,0,0
8743409,-150.19,0,0
8930048,-148.88,0,0
9120672,-147.58,0,0
9315365,-146.27,0,0
9514214,-144.97,0,0
9717308,-143.66,0,0
9924737,-142.35,0,0
10136594,-141.04,0,0
10352973,-139.73,0,0
10573972,-138.42,0,0
10799687,-137.11,0,0
11030221,-135.79,0,0
11265676,-134.48,0,0
11506157,-133.16,0,0
11751772,-131.84,0,0
12002629,-130.52,0,0
12258841,-129.2,0,0
12520523,-127.88,0,0
12787790,-126.55,0,0
13060763,-125.22,0,0
13339563,-123.89,0,0
13624314,-122.56,0,0
13915143,-121.23,0,0
14212181,-119.89,0,0
14515559,-118.56,0,0
14825413,-117.21,0,0
15141881,-115.87,0,0
15465105,-114.52,0,0
15795229,-113.17,0,0
16132399,-111.82,0,0
16476767,-110.47,0,0
16828486,-109.11,0,0
17187713,-107.74,0,0
17554608,-106.38,0,0
17929334,-105.01,0,0
18312060,-103.63,0,0
18702956,-102.25,0,0
19102196,-100.87,0,0
19509958,-99.48,0,0
19926424,-98.08,0,0
20351781,-96.68,0,0
20786217,-95.27,0,0
21229927,-93.86,0,0
21683108,-92.44,0,0
22145963,-91.01,0,0
22618699,-89.58,0,0
23101525,-88.14,0,0
23594659,-86.69,0,0
24098318,-85.23,0,0
24612730,-83.76,0,0
25138121,-82.28,0,0
25674729,-80.78,0,0
26222790,-79.28,0,0
26782551,-77.77,0,0
27354261,-76.24,0,0
27938174,-74.69,0,0
28534553,-73.13,0,0
29143661,-71.56,0,0
29765772,-69.96,0,0
30401162,-68.35,0,0
31050116,-66.71,0,0
31712923,-65.06,0,0
32389878,-63.37,0,0
33081284,-61.66,0,0
33787448,-59.93,0,0
34508687,-58.16,0,0
35245321,-56.35,0,0
35997680,-54.51,0,0
36766099,-52.62,0,0
37550921,-50.69,0,0
38352497,-48.7,0,0
39171182,-46.66,0,0
40007344,-44.55,0,0
40861355,-42.36,0,0
41733596,-40.09,0,0
42624456,-37.73,0,0
43534332,-35.25,0,0
44463631,-32.64,0,0
45412767,-29.88,0,0
46382164,-26.94,-0.01,-0.01
47372254,-23.78,-0.02,-0.02
48383479,-20.35,-0.04,-0.04
49416289,-16.59,-0.1,-0.1
50471147,-12.46,-0.25,-0.25
51548521,-8.02,-0.74,-0.74
52648894,-3.83,-2.32,-2.32
53772756,-1.17,-6.25,-6.25
54920608,-0.37,-10.83,-10.83
56092962,-0.22,-13.15,-13.15
57290342,-0.1,-16.46,-16.46
58513282,-0.03,-21.02,-21.02
59762327,-0.1,-16.39,-16.39
61038035,-0.25,-12.51,-12.51
62340974,-0.35,-11.08,-11.08
63671726,-0.31,-11.61,-11.61
65030885,-0.17,-14.23,-14.23
66419057,-0.21,-13.2,-13.2
67836861,-0.98,-6.96,-6.96
69284931,-2.72,-3.32,-3.32
